"Word","NSyll","POS"
"Zen","1","NN"
"zenith","2","NN"
"zephyr","2","NN"
"zeppelin","3","NN"
"zero","2","minor|NN|VB"
"zeroed","2","VB"
"zeros","2","NN|VB"
"zest","1","NN"
"zigzag","2","NN|VB"
"zigzagging","3","VB|NN|JJ"
"Zimbabwe","3","NN"
"zinc","1","NN|JJ"
"zing","1","NN"
"Zion","1","NN"
"zip","1","NN|JJ|VB"
"zipped","1","VB"
"zipper","2","NN|VB"
"zippy","2","JJ|NN"
"zodiac","3","NN"
"zodiacal","3","JJ"
"zombie","2","NN"
"zombies","2","NN"
"zone","1","NN"
"zoned","1","VB"
"zones","1","NN"
"zoning","2","VB|NN"
"zoo","1","NN"
"where'd","1","encl"
"wherefore","2","minor"
"wherefores","2","NN"
"wherein","2","minor|NN"
"where'll","1","NN"
"whereof","2","RB"
"whereon","2","NN"
"where're","2","encl"
"where's","1","encl"
"wheresoever","4","minor"
"whereto","2","minor"
"where've","1","NN"
"wherever","3","minor"
"wherewith","2","RB"
"whereupon","3","minor|NN"
"wherewithal","3","NN"
"whet","1","VB"
"whether","2","minor"
"whetstone","2","NN"
"whetted","2","VB"
"whey","1","NN"
"which","1","minor"
"whichever","3","minor|RB"
"whichsoever","4","minor"
"whiff","1","NN|VB"
"whig","1","NN"
"whigs","1","NN"
"while","1","minor|NN|VB|JJ"
"whilst","1","RB"
"whim","1","NN"
"whimper","2","NN|VB"
"whimpering","3","VB"
"whims","1","NN"
"whimsey","2","NN"
"whimsical","3","JJ"
"whimsy","2","NN"
"whine","1","NN|VB"
"whined","1","VB"
"whining","2","VB|JJ"
"whinnied","2","VB"
"whinny","2","NN|VB"
"whip","1","NN|VB"
"whiplash","2","NN"
"whiplashes","3","NN"
"whipped","1","VB"
"whippersnapper","4","NN"
"whippet","2","NN"
"whipping","2","VB|NN"
"whippoorwill","3","NN"
"whips","1","NN|VB"
"whip's","1","encl"
"whir","1","NN"
"whirl","1","NN|VB"
"whirled","1","VB"
"whirligig","3","NN|JJ"
"whirling","2","VB|NN"
"whirlpool","2","NN"
"whirlwind","2","NN"
"whirlwind's","2","encl"
"whirring","2","VB|NN"
"whisk","1","NN|VB"
"whisked","1","VB"
"whisker","2","NN"
"whiskered","2","JJ"
"whiskers","2","NN"
"whiskey","2","NN"
"whisking","2","VB"
"whisky","2","NN"
"whisper","2","NN|VB"
"whispered","2","VB"
"whisperer","3","NN"
"whispering","3","VB"
"whisperings","3","NN"
"whispers","2","NN|VB"
"whistle","2","NN"
"whistled","2","VB"
"whistling","3","VB"
"white","1","JJ|NN"
"whitecap","2","NN"
"whitehaired","2","JJ"
"whitehead","2","NN"
"whitehead's","2","NULL"
"whitely","2","RB|NN"
"whiten","2","VB"
"whitened","2","JJ|VB"
"whiteness","2","NN"
"whitening","3","VB|NN|JJ"
"whitens","2","VB"
"whites","1","NN"
"white's","1","encl"
"whitetail","2","NN"
"whitewash","2","NN|VB"
"whitewashed","2","VB"
"whither","2","minor"
"whiting","2","NN"
"Whitman","2","NN"
"Whitman's","2","NULL"
"Whitney","2","NN"
"whittle","2","VB"
"whiz","1","NN"
"whizzed","1","VB"
"whizzing","2","VB"
"who","1","minor"
"whoa","1","minor|NN"
"who'd","1","encl"
"whodunit","3","NN"
"whoever","3","minor"
"whole","1","JJ|NN"
"wholeheartedly","4","RB"
"wholemeal","2","JJ"
"wholeness","2","NN"
"wholes","1","NN"
"wholesale","2","JJ"
"wholesalers","3","NN"
"wholesome","2","JJ"
"wholewheat","2","NULL"
"who'll","1","encl"
"wholly","2","RB"
"whom","1","minor"
"whomever","3","minor"
"whomsoever","4","minor"
"whoop","1","NN"
"whoopee","2","NN"
"whooping","2","NN"
"whoosh","1","NN|minor|VB"
"whopper","2","NN"
"whoppers","2","NN"
"whopping","2","JJ|VB"
"whore","1","NN|VB"
"who're","2","NN"
"whorehouse","2","NN"
"whoremonger","3","NN"
"whores","1","NN|VB"
"whorl","1","NN"
"whorls","1","NN"
"who's","1","encl"
"whose","1","minor"
"who've","1","encl"
"why","1","minor"
"why'd","1","NULL"
"why'll","2","NN"
"whosoever","4","minor"
"why're","2","NN"
"why's","1","encl"
"why've","NULL","NULL"
"Wichita","3","NN"
"wick","1","NN"
"wicked","2","JJ"
"wickedly","3","RB"
"wickedness","3","NN"
"wicker","2","NN|VB"
"wickerwork","3","NN"
"wicket","2","NN"
"wickets","2","NN"
"wide","1","JJ|RB|NN"
"widely","2","RB"
"widen","2","VB"
"widened","2","VB|JJ"
"widens","2","VB"
"wider","2","JJ|RB"
"widespread","2","JJ"
"widest","2","JJ"
"widow","2","NN"
"widowed","2","JJ|VB"
"widower","2","NN"
"widowhood","3","NN"
"widows","2","NN"
"width","1","NN"
"widths","1","NN"
"wield","1","VB"
"wielded","2","VB"
"wielder","2","NN"
"wieners","2","NN"
"wife","1","NN"
"wifely","2","JJ"
"wife's","1","encl"
"wig","1","NN"
"wiggle","2","VB|NN"
"wiggled","2","VB"
"wiggling","3","VB"
"wigmaker","3","NN"
"wigwam","2","NN"
"Wilbur","2","NN"
"wild","1","JJ|RB"
"wildcat","2","NN"
"wildcatter","3","NN"
"wildebeest","3","NN"
"wilder","2","JJ|NN"
"wilderness","3","NN"
"wildest","2","JJ"
"wildfire","2","NN"
"wildfowl","2","NN"
"wildlife","2","NN"
"wildly","2","RB"
"wildness","2","NN"
"wile","1","NN|VB"
"wiles","1","NN|VB"
"Wilfred","2","NN"
"Wilhelm","2","NN"
"will","1","VB|NN"
"willed","1","VB"
"willful","2","JJ"
"willfully","3","NULL"
"William","2","NN"
"Willie","2","NN"
"Williamsburg","3","NN"
"Willie's","2","NULL"
"willing","2","JJ|VB"
"willingly","3","RB"
"willingness","3","NN"
"Willis","2","NN"
"willow","2","NN|VB"
"willows","2","NN"
"willowy","3","JJ"
"willpower","2","NN"
"wills","1","NN|VB"
"willy","2","NN|RB"
"Wilson","2","NN"
"Wilsonian","4","JJ"
"Wilson's","2","encl"
"wilt","1","VB"
"wilted","2","JJ|VB"
"wily","2","JJ|RB"
"win","1","VB|NN"
"wince","1","VB|NN"
"winced","1","VB"
"winches","2","NN|VB"
"Winchester","3","NN"
"wincing","2","VB"
"wind","1","NN|VB"
"windbag","2","NN"
"windbreak","2","NN"
"windbreaker","3","NN"
"windbreaks","2","NN|VB"
"winded","2","JJ|VB"
"winder","2","NN"
"winders","2","NN"
"windfall","2","NN"
"winding","2","VB|NN|JJ"
"windjammer","3","NN"
"windless","2","JJ"
"windmill","2","NN"
"window","2","NN"
"windowless","3","JJ"
"windowpane","3","NN"
"windowpanes","3","NN"
"windows","2","NN"
"windowsill","3","NN"
"winds","1","VB"
"windscreen","2","NN"
"windshield","2","NN"
"windsleeve","2","NULL"
"windsock","2","NN"
"Windsor","2","NN"
"windstorm","2","NN"
"windswept","2","JJ"
"windup","2","NN|JJ"
"windward","2","RB|JJ"
"windy","2","JJ"
"wine","1","NN"
"wineglass","2","NN"
"winepress","2","NN"
"wines","1","NN"
"wine's","1","NULL"
"wineskin","2","NN"
"wing","1","NN|VB"
"wingback","2","NN|JJ"
"winged","1","VB"
"winger","2","NN"
"winging","2","NN|VB|JJ"
"wingless","2","JJ"
"wingman","2","NN"
"wings","1","NN|VB"
"wingspan","2","NN"
"wingspread","2","NN"
"wink","1","NN|VB"
"winked","1","VB"
"winking","2","VB"
"winless","2","JJ|RB"
"winner","2","NN"
"winners","2","NN"
"winning","2","VB|NN"
"winnings","2","NN"
"Winnipeg","3","NN"
"wins","1","VB|NN"
"winsome","2","JJ"
"Winston","2","NN"
"winter","2","NN|VB"
"wintered","2","VB"
"wintergreen","3","NN"
"wintering","3","VB|NN|JJ"
"winters","2","NN|VB"
"wintertime","3","NN"
"wintery","3","JJ"
"wintry","2","JJ"
"wipe","1","VB"
"wiped","1","VB"
